surface,strongest_lane,files,layer,realism,primary_claim,simulation_or_bypass,remaining_gap,follow_on_beads
onboarding-completion,"onboarding smoke + app UI tests + app tests","app/AppShell/onboarding_completion_smoke.swift|app/RecorditAppUITests/RecorditAppUITests.swift|app/RecorditAppTests/RecorditAppTests.swift","smoke|xcuitest|xctest","mock|fixture","step progression, completion routing, deterministic first-run flow coverage","StubModelResolutionService; StubCommandRunner; StubRuntimeReadinessChecker; AppEnvironment.preview(); RECORDIT_UI_TEST_MODE","no production-backed first-run path with actual packaged runtime/model resolution","bd-2ph4|bd-2ptr"
permission-remediation,"permission remediation smoke + app UI tests","app/AppShell/permission_remediation_smoke.swift|app/RecorditAppUITests/RecorditAppUITests.swift","smoke|xcuitest","fixture","permission failure copy, remediation buttons, deterministic recovery flow","scripted preflight payloads; RECORDIT_UI_TEST_MODE","no retained proof of real TCC denial/regrant behavior in app context","bd-2ph4|bd-2ptr"
live-readiness-contract,"rust preflight tests + preflight smokes","src/bin/transcribe_live/preflight.rs|app/Preflight/preflight_gating_smoke.swift|app/Preflight/preflight_smoke.swift","rust-unit|smoke","fixture","readiness ID/domain mapping, block vs warn semantics, fallback eligibility","JSON fixture envelopes; stub command runners","no end-to-end proof that UI surfaces only Rust-authoritative readiness in real app runtime","bd-2ph4|bd-11vg"
runtime-binary-readiness,"runtime readiness smoke + app tests + release-context verifier","app/RuntimeProcessLayer/runtime_binary_readiness_smoke.swift|app/RecorditAppTests/RecorditAppTests.swift|scripts/verify_recordit_release_context.sh","smoke|xctest|shell","temp-filesystem|packaged-app","override validation, bundled payload expectations, packaged payload presence/signing checks","temporary bundle layouts; stub services","no lane proves packaged app launch, runtime resolution, and first live start together","bd-2ph4|bd-11vg"
app-shell-runtime-lifecycle,"process lifecycle smokes + runtime stop/finalization smoke + UI automation smoke","app/Integration/process_lifecycle_integration_smoke.swift|app/RuntimeProcessLayer/process_lifecycle_integration_smoke.swift|app/ViewModels/runtime_stop_finalization_smoke.swift|app/UIAutomation/ui_automation_smoke.swift","integration-smoke","mock|temp-filesystem","state transitions, stop/finalization handling, interruption and retry logic","LiveRuntimeService; ScriptedRuntimeService; synthetic manifests; temp roots; mocked session/export services","no production-backed app-shell to actual runtime process lane","bd-2ph4|bd-10ou"
live-runtime-streaming,"true live integration + observability tests + live_capture tests","tests/live_stream_true_live_integration.rs|tests/runtime_live_stream_observability.rs|src/live_capture.rs","rust-integration|rust-unit","fixture|temp-filesystem","artifact growth, stable transcript emission, scheduler and backpressure diagnostics","RECORDIT_FAKE_CAPTURE_FIXTURE deterministic stereo capture","no live-real device/TCC capture lane through the product app path","bd-11vg|bd-2mbp"
fault-handling,"fault injection e2e + exit/status contracts","tests/live_asr_fault_injection_e2e.rs|tests/transcribe_live_failed_status_contract.rs|tests/recordit_exit_behavior_matrix.rs","rust-integration|contract","fixture|temp-filesystem","status mapping, retry/delete retention policy, exit-behavior contract","synthetic audio fixtures; direct binary invocation","not connected to packaged-app UX recovery with shared evidence","bd-11vg|bd-13tm"
session-artifact-promotion,"pending queue/transcribe/migration smokes","app/Services/pending_queue_integration_smoke.swift|app/Services/pending_transcribe_action_smoke.swift|app/Services/startup_migration_repair_smoke.swift|app/Services/legacy_flat_migration_smoke.swift","smoke|integration","mock|temp-filesystem","promotion/failure handling, repair and migration logic, sidecar update behavior","mock runtime services; synthetic session roots","no production-backed retained-session lane from actual runs","bd-10ou|bd-11vg"
session-history-search,"session list/search/jsonl mapping smokes","app/ViewModels/session_list_smoke.swift|app/Services/session_search_index_smoke.swift|app/Services/jsonl_tailer_smoke.swift|app/Services/jsonl_event_surface_smoke.swift","smoke","mock|fixture|temp-filesystem","indexing, event mapping, list filtering, empty/error state behavior","MockSessionLibraryService; fixture JSONL/manifests; synthetic paths/timestamps","no packaged-app proof against real session corpus generated by product flows","bd-10ou|bd-11vg"
export-actions,"export smokes + UI automation export wiring","app/Exports/export_smoke.swift|app/Exports/session_export_view_model_smoke.swift|app/UIAutomation/ui_automation_smoke.swift","smoke","mock|temp-filesystem","export naming, path restrictions, view-model behavior, action wiring","fixture manifests/JSONL; recording export service","no app-level or packaged lane validating export from real completed sessions","bd-10ou|bd-11vg"
app-level-responsiveness,"app tests + xctest evidence script","app/RecorditAppTests/RecorditAppTests.swift|scripts/ci_recordit_xctest_evidence.sh","xctest|shell","mock|fixture","responsiveness metrics and retained xctest/xcresult evidence","preview environment; stub services","not yet proof of real runtime responsiveness in shipped path","bd-13tm|bd-2ph4"
ui-automation-live-run,"app UI tests + xctest evidence script","app/RecorditAppUITests/RecorditAppUITests.swift|scripts/ci_recordit_xctest_evidence.sh","xcuitest|shell","fixture","visible onboarding/live-run summary flow with retained xcresult/logs","RECORDIT_UI_TEST_MODE=1; /usr/bin/true runtime overrides; scripted preflight/runtime scenarios","still simulated-only for runtime/process/TCC truth","bd-2ptr|bd-13tm"
cli-and-schema-contracts,"CLI contract and schema tests","tests/recordit_cli_dispatch.rs|tests/recordit_cli_contract.rs|tests/runtime_jsonl_schema_contract.rs|tests/runtime_manifest_schema_contract.rs|tests/bd_1n5v_contract_regression.rs","rust-contract","fixture","CLI grammar stability, schema compatibility, frozen artifact parsing and drift detection","frozen JSON and JSONL fixtures; direct help/inspect command execution","strong compatibility proof but not user-journey proof","bd-11vg|bd-2mbp"
packaged-local-app-path,"release-context verifier + packaged live smoke + dmg install/open verifier","scripts/verify_recordit_release_context.sh|scripts/gate_packaged_live_smoke.sh|scripts/gate_dmg_install_open.sh|README.md","shell","packaged-app|fixture","signed dist/Recordit.app payload checks, packaged smoke artifact generation, and retained DMG install/open verification","deterministic fake capture; compatibility runtime assistance","onboarding plus first live-start/live-stop is still not covered in the installed-DMG lane","bd-78qy|bd-13tm"
release-signing-notarization,"release-context and GA docs","docs/bd-3p8a-release-context-matrix.md|docs/bd-1uik-ga-signing-notarization-plan.md|docs/bd-b2qv-release-checklist.md","docs|runbook","manual-user-journey","commands and evidence roots for sign/notarize/staple/Gatekeeper workflow are defined","procedural/documented until executed and archived for a concrete release candidate","requires retained GA-grade execution evidence","bd-13tm|bd-3p9b"
dmg-install-open,"DMG install/open verifier + DMG builder + README instructions","scripts/gate_dmg_install_open.sh|scripts/create_recordit_dmg.sh|README.md","shell","packaged-app","retained automated mount/layout/copy/open verification with contract-validated diagnostics","lane currently stops at install/open and does not include onboarding or first live stop","install-surface proof upgraded from docs-only to retained scripted evidence","bd-78qy|bd-13pv"
